State,adh_JULavg,tot_Cases_Jul,case_rate_Jul,MaskJulPol,Wk_case_rate_Jul,Wk_JulHI,maskJUL75,strictJulPol,Month
Alabama,62.67741935,87867,1015.72753220611,1,461.694332820958,1,0,0,2020-07
Alaska,57.4516129,2990,280.228830762291,1,127.376741255587,0,0,1,2020-07
Arizona,83.12903226,174010,1302.35864370053,0,591.98120168206,1,1,0,2020-07
Arkansas,58.25806452,42511,720.19256386432,1,327.360256301964,1,0,1,2020-07
California,74.29032258,493588,685.031059882406,1,311.377754492003,1,0,0,2020-07
Colorado,61.12903226,46809,244.741207098224,1,111.246003226466,0,0,0,2020-07
Connecticut,78.5483871,49810,92.446975516978,1,42.0213525077173,0,1,0,2020-07
Delaware,65.74193548,14877,345.771665413796,1,157.168938824453,0,0,1,2020-07
District of Columbia,69.38709677,12126,254.906489417626,1,115.866586098921,0,0,1,2020-07
Florida,66.90322581,465030,1467.79430253755,0,667.179228426161,1,0,0,2020-07
Georgia,57.61290323,186352,989.515064060271,0,449.779574572851,1,0,0,2020-07
Hawaii,78.09677419,1989,81.0101478099715,1,36.822794459078,0,1,1,2020-07
Idaho,44.35483871,20721,817.205865483348,0,371.45721158334,1,0,0,2020-07
Illinois,65.64516129,180118,283.147939037333,1,128.703608653333,0,0,1,2020-07
Indiana,52.70967742,66154,305.397076357736,1,138.81685288988,0,0,0,2020-07
Iowa,50.48387097,44582,495.551604243329,0,225.250729201513,1,0,0,2020-07
Kansas,50.83870968,27812,458.893205469785,1,208.587820668084,1,0,0,2020-07
Kentucky,73.61290323,30151,325.158085652195,1,147.799129841907,0,0,0,2020-07
Louisiana,56.87096774,116280,1251.61493497023,1,568.915879531923,1,0,1,2020-07
Maine,70.96774194,3937,47.8347165476874,1,21.7430529762216,0,0,1,2020-07
Maryland,71.09677419,89365,354.749176271321,1,161.249625577873,0,0,1,2020-07
Massachusetts,79.64516129,117612,126.659357275579,1,57.5724351252632,0,1,1,2020-07
Michigan,74.64516129,90574,198.721179245883,1,90.3278087481286,0,0,1,2020-07
Minnesota,59.32258065,55188,327.539101842106,1,148.88140992823,0,0,0,2020-07
Mississippi,42.48387097,59881,1074.57657529915,0,488.443897863251,1,0,0,2020-07
Missouri,59.74193548,50323,468.795723550647,0,213.088965250294,1,0,0,2020-07
Montana,57.61290323,3965,275.735466111765,0,125.334302778075,0,0,0,2020-07
Nebraska,48.51612903,26211,363.625460606036,0,165.284300275471,0,0,0,2020-07
Nevada,69.4,48312,961.899332371477,1,437.226969259762,1,0,0,2020-07
New Hampshire,72.6,6583,58.909577108665,0,26.7770805039386,0,0,0,2020-07
New Jersey,70.8,181660,112.506037362407,1,51.1391078920033,0,0,0,2020-07
New Mexico,72.0,20600,403.132539658694,1,183.242063481225,0,0,0,2020-07
New York,80.6,189866,59.5829216049442,1,27.0831461840655,0,1,1,2020-07
North Carolina,53.2,122148,548.031461227809,1,249.105209649004,1,0,0,2020-07
North Dakota,36.8,6602,397.080552500978,0,180.491160227717,0,0,0,2020-07
Ohio,56.2,91159,336.809506292187,1,153.095230132812,0,0,0,2020-07
Oklahoma,48.8,39105,654.237799569418,0,297.380817986099,1,0,0,2020-07
Oregon,65.0,18493,235.228793898255,1,106.922179044662,0,0,0,2020-07
Pennsylvania,66.36666667,112936,200.703187606238,1,91.2287216391993,0,0,0,2020-07
Rhode Island,77.83333333,19022,208.521929729337,1,94.7826953315167,0,1,0,2020-07
South Carolina,58.53333333,89016,1021.94450886182,0,464.520231300829,1,0,0,2020-07
South Dakota,33.8,8764,226.075810001368,0,102.761731818804,0,0,0,2020-07
Tennessee,50.96666667,105959,914.459054638233,0,415.663206653742,1,0,0,2020-07
Texas,66.0,420946,899.989898565248,1,409.086317529658,1,0,0,2020-07
Utah,57.7,40797,563.045429790409,1,255.929740813822,1,0,0,2020-07
Vermont,76.6,1414,33.0134024798514,0,15.0060920362961,0,1,0,2020-07
Virginia,77.13333333,90801,328.204998430675,1,149.184090195762,0,1,1,2020-07
Washington,63.6,55803,301.763924982268,1,137.165420446486,0,0,0,2020-07
West Virginia,60.4,6642,208.520841203316,1,94.782200546962,0,0,0,2020-07
Wisconsin,60.43333333,56934,434.045280719369,0,197.293309417895,0,0,0,2020-07
Wyoming,36.63333333,2726,214.07874434782,0,97.3085201581,0,0,0,2020-07
